
2024/02/18 (22:30:42) | ===> btop++ v.1.3.2
2024/02/18 (22:30:42) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/02/19 (02:39:35) | ===> btop++ v.1.3.2
2024/02/19 (02:39:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/19 (02:39:35) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/02/19 (02:39:35) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/02/19 (02:39:35) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/02/19 (02:39:35) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/02/19 (02:39:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/02/19 (02:39:35) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/02/19 (02:39:35) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/02/19 (02:39:35) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/02/19 (02:39:38) | ===> btop++ v.1.3.2
2024/02/19 (02:39:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/19 (02:39:38) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/02/19 (02:39:38) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/02/19 (02:39:38) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/02/19 (02:39:38) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/02/19 (02:39:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/02/19 (02:39:38) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/02/19 (02:39:38) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/02/19 (02:39:38) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/02/19 (02:41:07) | ===> btop++ v.1.3.2
2024/02/19 (02:41:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/19 (02:41:07) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/02/19 (02:41:07) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/02/19 (02:41:07) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/02/19 (02:41:07) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/02/19 (02:41:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/02/19 (02:41:07) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/02/19 (02:41:07) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/02/19 (02:41:08) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at

2024/02/19 (02:49:29) | ===> btop++ v.1.3.2
2024/02/19 (02:49:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/19 (02:49:29) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/02/19 (02:49:29) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/02/19 (02:49:29) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/02/19 (02:49:29) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/02/19 (02:49:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/02/19 (02:49:29) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/02/19 (02:49:29) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/02/19 (02:49:30) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : unordered_map::at
